,gdp_real_level,gdp_real_growth_rate,unemployment_rate,employment_level,labor_force_level,emp_total_nonfarm,emp_total_private,emp_construction,emp_manufacturing,emp_trade_transport_util,emp_retail,emp_prof_business,emp_edu_health,emp_leisure_hospitality,emp_government,v,gdp_real_level_monthly_linear,gdp_real_growth_rate_monthly_linear,gdp_log_growth_linear,u
1959-02-01,3378.1476444444443,8.382222222222223,,,,,,,,,,,,,,,3378.1476444444443,8.382222222222223,0.00773185871506854,
1959-03-01,3401.6483555555556,8.817777777777778,,,,,,,,,,,,,,,3401.6483555555556,8.817777777777778,0.0069325995157427656,
1959-04-01,3427.667,9.3,,,,,,,,,,,,,,,3427.667,9.3,0.007619730229810884,
1959-05-01,3428.454912087912,6.332967032967034,,,,,,,,,,,,,,,3428.454912087912,6.332967032967034,0.00022984191398123244,
1959-06-01,3429.269087912088,3.2670329670329683,,,,,,,,,,,,,,,3429.269087912088,3.2670329670329683,0.00023744782613022153,
1959-07-01,3430.057,0.3,,,,,,,,,,,,,,,3430.057,0.3,0.00022973454863617349,
1959-08-01,3433.3507499999996,0.5695652173913044,,,,,,,,,,,,,,,3433.3507499999996,0.5695652173913044,0.0009598002545772033,
1959-09-01,3436.6445,0.8391304347826087,,,,,,,,,,,,,,,3436.6445,0.8391304347826087,0.0009588799213116062,
1959-10-01,3439.832,1.1,,,,,,,,,,,,,,,3439.832,1.1,0.0009270736919688716,
1959-11-01,3465.89525,3.86304347826087,,,,,,,,,,,,,,,3465.89525,3.86304347826087,0.007548335695179986,
1959-12-01,3491.11775,6.536956521739131,,,,,,,,,,,,,,,3491.11775,6.536956521739131,0.007250988465836272,
1960-01-01,3517.181,9.3,,,,,,,,,,,,,,,3517.181,9.3,0.0074378593393369385,
1960-02-01,3510.7306153846152,5.416483516483518,,,,,,,,,,,,,,,3510.7306153846152,5.416483516483518,-0.001835648135511292,
1960-03-01,3504.696384615385,1.7835164835164845,,,,,,,,,,,,,,,3504.696384615385,1.7835164835164845,-0.001720275118632486,
1960-04-01,3498.246,-2.1,,,,,,,,,,,,,,,3498.246,-2.1,-0.0018421932054639711,
1960-05-01,3503.89621978022,-0.7483516483516487,,,,,,,,,,,,,,,3503.89621978022,-0.7483516483516487,0.0016138549687276793,
1960-06-01,3509.7347802197805,0.6483516483516478,,,,,,,,,,,,,,,3509.7347802197805,0.6483516483516478,0.001664918439036711,
1960-07-01,3515.385,2.0,,,,,,,,,,,,,,,3515.385,2.0,0.0016085764158688676,
1960-08-01,3500.1859021739133,-0.3586956521739131,,,,,,,,,,,,,,,3500.1859021739133,-0.3586956521739131,-0.004332967856154113,
1960-09-01,3484.986804347826,-2.717391304347826,,,,,,,,,,,,,,,3484.986804347826,-2.717391304347826,-0.0043518242001585605,
1960-10-01,3470.278,-5.0,,,,,,,,,,,,,,,3470.278,-5.0,-0.004229551768009543,
1960-11-01,3478.171206521739,-2.4054347826086957,,,,,,,,,,,,,,,3478.171206521739,-2.4054347826086957,0.002271934263985642,
1960-12-01,3485.809793478261,0.10543478260869588,,,,,,,,,,,,,,,3485.809793478261,0.10543478260869588,0.0021937423493589847,
1961-01-01,3493.703,2.7,,,,,,,,,,,,,,,3493.703,2.7,0.0022618226000368225,
